3301,1,0,0,0,2509,3625,22248;
3302,1,0,0,0,2499,4681,30734;
3303,1,0,0,0,7568,13971,7568;
3304,1,21,-2629,-6,8627,15527,8627;
3305,1,21,-9152,-7,20335,28573,20340;
3306,1,-192,-1795,0,11008,13859,13952;
3307,1,0,-2268,-7,19164,14804,19177;
3308,1,-1250,-4456,1261,15033,19181,15027;
3309,1,0,3719,0,2512,8192,25744;
3310,1,0,0,0,2499,3502,16384;
3311,1,0,0,0,2499,3502,8192;
3312,1,10,13,-4,11307,10240,11305;
3313,1,0,-7924,0,19284,26417,19284;
3314,1,10,571,-4,26296,10240,26296;
3315,1,0,-1179,0,12650,11632,12650;
3316,1,0,0,0,21118,12522,11317;
3317,1,-1004,-659,3,15913,11559,11389;
3318,1,-2,-940,7,11358,7008,7610;
3319,1,0,0,0,11392,8260,9453;
3320,1,0,0,0,13113,12952,13093;
3321,1,21,1102,28,12370,7866,12443;
3322,1,-356,3009,455,15605,16258,15792;
3323,1,0,135,0,10652,10483,10652;
3324,1,0,3533,0,11360,17279,11360;
3325,1,0,1034,0,16067,12281,16067;
3326,1,-30,-1170,1263,17529,15612,20229;
3327,1,37,-1069,0,33845,11291,33770;
3328,1,-10,1016,-2,7641,12244,7631;
3329,1,1,2565,28,11733,15342,7568;
3330,1,0,6381,0,12288,22975,12288;
3331,1,-1783,7259,22,11115,24731,7582;
3332,1,1117,6019,22,11364,22251,7582;
3333,1,0,0,0,2499,4043,16350;
3334,1,0,0,0,1940,1940,1940;
3335,1,0,0,0,1940,1940,1940;
3336,1,0,-5143,0,55879,69796,55879;
3337,1,0,-4444,0,22222,55555,22222;
3338,1,0,0,0,11781,10784,11781;
3339,1,0,0,0,4866,13737,5263;
3340,1,0,0,0,11493,9778,11493;
3341,1,0,0,0,16896,10793,16896;
3342,1,0,0,0,11240,6126,11240;
3343,1,0,0,0,25379,16129,23051;
3500,1,0,0,0,25600,3072,3072;
3510,1,0,0,0,64,64,64;
3520,1,0,0,0,64,64,64;
3501,1,0,0,0,12650,12650,12650;
3511,1,0,0,0,64,64,64;
3521,1,0,0,0,64,64,64;
3502,1,0,0,0,10240,10240,12650;
3512,1,0,0,0,64,64,64;
3522,1,0,0,0,64,64,64;
3503,1,0,0,0,10240,10240,18360;
3513,1,0,0,0,64,64,64;
3523,1,0,0,0,64,64,64;
3504,1,0,0,0,12650,12650,12650;
3514,1,0,0,0,64,64,64;
3524,1,0,0,0,64,64,64;
3505,1,0,0,0,10240,10240,22528;
3515,1,0,0,0,64,64,64;
3525,1,0,0,0,64,64,64;
3506,1,0,0,0,10240,10240,22528;
3516,1,0,0,0,64,64,64;
3526,1,0,0,0,64,64,64;
3507,1,0,0,0,16384,16384,12650;
3517,1,0,0,0,64,64,64;
3527,1,0,0,0,64,64,64;
3508,1,0,0,0,16384,16384,12650;
3518,1,0,0,0,64,64,64;
3528,1,0,0,0,64,64,64;
